,Prix,Marque,Modèle,Carburant,Kilométrage,Boitedevitesse,Puissancefiscale,Année
17881,13990,Citroen,C3,Diesel,55106,Manuelle,5.0,2020.0
17882,25500,Mercedes,Classe A,Diesel,55109,Automatique,6.0,2019.0
17883,17490,Peugeot,308,Diesel,55111,Manuelle,5.0,2018.0
17884,11990,Renault,Clio,Diesel,55112,Manuelle,4.0,2018.0
17885,28980,Peugeot,508,Diesel,55114,Automatique,7.0,2020.0
17886,16490,Renault,Clio,Essence,55117,Automatique,7.0,2019.0
17887,16971,Peugeot,308,Essence,55121,Manuelle,5.0,2020.0
17888,9590,Fiat,500,Essence,55127,Manuelle,4.0,2016.0
17889,18990,Volkswagen,Golf,Diesel,55150,Automatique,6.0,2018.0
17890,12690,Peugeot,208,Essence,55150,Manuelle,4.0,2019.0
17891,22579,Peugeot,208,Diesel,55156,Manuelle,5.0,2021.0
17892,22990,Renault,Kadjar,Diesel,55166,Manuelle,8.0,2020.0
17893,11680,Citroen,C3,Essence,55168,Manuelle,4.0,2017.0
17894,18490,Renault,Kadjar,Diesel,55168,Manuelle,7.0,2017.0
17895,11680,Citroen,C3,Essence,55169,Manuelle,4.0,2017.0
17896,11680,Citroen,C3,Essence,55174,Manuelle,4.0,2017.0
17897,15990,Renault,Captur,Essence,55174,Automatique,6.0,2018.0
17898,23990,Renault,Kadjar,Diesel,55174,Manuelle,8.0,2020.0
17899,12876,Peugeot,208,Diesel,55175,Manuelle,5.0,2020.0
17900,19890,Mini,Mini,Diesel,55185,Manuelle,6.0,2018.0
17901,13890,Volkswagen,Polo,Essence,55190,Manuelle,4.0,2019.0
17902,19800,Nissan,Qashqai,Diesel,55200,Manuelle,8.0,2019.0
17903,14500,Renault,Megane,Diesel,55200,Manuelle,6.0,2019.0
17904,17950,Peugeot,308,Diesel,55207,Manuelle,5.0,2017.0
17905,13990,Citroen,C3,Diesel,55214,Manuelle,5.0,2017.0
17906,14996,Citroen,C3,Diesel,55229,Manuelle,5.0,2019.0
17907,13690,Citroen,C3,Diesel,55237,Manuelle,5.0,2017.0
17908,13490,Ford,Fiesta,Essence,55246,Manuelle,5.0,2018.0
17909,15419,Peugeot,2008,Diesel,55251,Manuelle,5.0,2018.0
17910,19430,Peugeot,2008,Essence,55251,Automatique,6.0,2019.0
17911,13490,Citroen,C3,Essence,55261,Manuelle,4.0,2019.0
17912,12490,Peugeot,208,Essence,55266,Manuelle,4.0,2019.0
17913,12990,Peugeot,208,Diesel,55268,Manuelle,5.0,2019.0
17914,19280,Peugeot,308,Diesel,55268,Automatique,7.0,2020.0
17915,33690,Volkswagen,Tiguan,Diesel,55279,Automatique,8.0,2019.0
17916,24980,Peugeot,3008,Essence,55282,Automatique,7.0,2017.0
17917,23890,Citroen,C5,Diesel,55282,Manuelle,6.0,2019.0
17918,11979,Citroen,C4,Essence,55290,Manuelle,4.0,2016.0
17919,18390,Peugeot,208,Diesel,55294,Manuelle,5.0,2020.0
17920,10990,Citroen,C5,Diesel,55300,Automatique,10.0,2009.0
17921,11500,Dacia,Duster,Essence,55300,Manuelle,6.0,2016.0
17922,23490,Volkswagen,Tiguan,Diesel,55300,Manuelle,8.0,2017.0
17923,21490,Renault,Scenic,Diesel,55300,Automatique,8.0,2017.0
17924,22000,Peugeot,308,Essence,55300,Automatique,13.0,2019.0
17925,19990,Audi,A3,Essence,55303,Automatique,6.0,2016.0
17926,11990,Peugeot,2008,Essence,55310,Manuelle,4.0,2016.0
17927,13990,Peugeot,208,Diesel,55320,Manuelle,4.0,2018.0
17928,12980,Renault,Clio,Essence,55328,Manuelle,5.0,2018.0
17929,17980,Peugeot,208,Diesel,55333,Manuelle,5.0,2020.0
17930,15490,Citroen,C3,Diesel,55337,Manuelle,5.0,2018.0
17931,12490,Citroen,C3,Diesel,55342,Manuelle,5.0,2018.0
17932,17290,Dacia,Duster,Diesel,55351,Manuelle,6.0,2018.0
17933,16490,Dacia,Duster,Diesel,55353,Manuelle,5.0,2019.0
